From,To,Agency,Discipline,OP/MT,Location,Equip. / Syst.,Delay Description,Duration,Hours,Date
00:05,04:26,MECH,MECH,MT,Finishing Area,Tail Breaker,"Accumulated delays of cobble detection at the end of CB after discharging few bars / TB1A makes delayed cycle and caused overshoot in CB - 
At the we noted that the TB1A pneumatic cylinder losed and caused over shoots ",4:21, 4.35 ,01/01/2022,night
07:00,07:17,E&A,E&A,MT,Mill Area,Proportional Valve,Lubrication unit of Fast Finishing Block  2 not ok - The propretional valve not balancing,0:17, 0.28 ,03/01/2022,night
07:30,07:54,E&A,E&A,MT,Mill Area,Proportional Valve,Lubrication unit of Fast Finishing Block  2 not ok - The propretional valve not balancing,0:24, 0.40 ,03/01/2022,night
14:32,14:42,E&A,E&A,MT,Finishing Area,BC1 Fast Lances,CCL area full - BC1 fast lances drive fault,0:10, 0.17 ,03/01/2022,Afternoon
15:24,15:33,E&A,E&A,MT,Finishing Area,BC1 Fast Lances,CCL area full - BC1 fast lances drive fault,0:09, 0.15 ,03/01/2022,Afternoon
16:14,16:26,E&A,E&A,MT,Finishing Area,BC1 Fast Lances,CCL area full - BC1 fast lances drive fault,0:12, 0.20 ,03/01/2022,Afternoon
23:14,23:26,E&A,E&A,MT,Finishing Area,BC1 Fast Lances,CCL area full - BC1 fast lances drive fault,0:12, 0.20 ,03/01/2022,night
07:05,07:35,E&A,E&A,MT,Mill Area,Stand,Cobble from Stand 1 to S3 - Stand 2 drive tripped,0:30, 0.50 ,09/01/2022,night
07:35,07:51,E&A,E&A,MT,Mill Area,Roughing Lubrication Unit ,"Mill not ready,roughing mill lub unit dropped - Roughing mill lubrication unit :min delivery oil pressure",0:16, 0.27 ,09/01/2022,night
09:30,10:16,E&A,E&A,MT,Finishing Area,BC1 Fast Lances,CCL area full - BC 1 fast lances tripped,0:36, 0.60 ,09/01/2022,morning
10:30,10:34,E&A,E&A,MT,Finishing Area,BC Chain Transfer 04,CCL area full - BC chain transfer # 4 tripped,0:04, 0.07 ,09/01/2022,morning
12:54,13:00,E&A,E&A,MT,Mill Area,Roughing Lubrication Unit ,"Mill not ready,roughing mill lub unit dropped - Roughing mill lubrication unit :min delivery oil pressure",0:06, 0.10 ,09/01/2022,morning
00:22,00:38,E&A,E&A,MT,Finishing Area,Tying Machine,TM1 Out of service and stopped each time after trying it - Twister not good / tow small pieces of wire found inside,0:16, 0.27 ,09/01/2022,night
11:57,12:07,E&A,E&A,MT,Finishing Area,Tying Machine,CCL area full - TM 02 not working,0:10, 0.17 ,23/01/2022,morning
02:56,03:14,E&A,E&A,MT,,Twin Channel  ,One billet chop and one rejected - Drive of Twin Channel 1B tripped,0:18, 0.30 ,23/01/2022,night
15:35,15:42,E&A,E&A,MT,Mill Area,HMI,Billet auto discharging can't be done even auto mode is activated on HMI - Automation problem,0:07, 0.12 ,24/01/2022,Afternoon
01:08,01:15,E&A,E&A,MT,Finishing Area,Tying Machine,Walls befor TMs lost position ,0:07, 0.12 ,25/01/2022,night
05:00,05:07,E&A,E&A,MT,Finishing Area,Tying Machine,CCL area full -Tying Machine stop in down position,0:07, 0.12 ,26/01/2022,night
19:45,20:00,E&A,E&A,MT,Mill Area,Fast Finishing Block ,One auto chopped - Fast Finishing Block  1 got trip,0:15, 0.25 ,26/01/2022,evening
20:00,20:12,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Remove of previouse shift cobble - Fast Finishing Block  line1 tripped,0:12, 0.20 ,26/01/2022,evening
04:16,04:37,E&A,E&A,MT,Finishing Area,Cold Shear,"Stop rolling CCL full - Cold shear stopped , lubrication stop (oil temperatuer low)",0:21, 0.35 ,27/01/2022,night
05:15,05:43,E&A,E&A,MT,Mill Area,Tail Breaker,One billet chopped and one rejected - Under shoot in the last bars of the billet in line 1,0:28, 0.47 ,28/01/2022,night
06:15,07:03,E&A,E&A,MT,Mill Area,Twin Channel ,Twin Channel  2B - Drive fault,0:48, 0.80 ,28/01/2022,night
07:50,08:05,E&A,E&A,MT,Mill Area,Proportional Valve,Fast Finishing Block  2 acumulator high level - Proportional valve not working properly,0:15, 0.25 ,28/01/2022,night
09:45,10:08,E&A,E&A,MT,Mill Area,Tail Breaker,One billet chopped and one rejected - Under shoot in the last bars of the billet in line 1,0:23, 0.38 ,28/01/2022,morning
10:46,12:33,MECH,MECH,MT,Furnace Area,Gas Pipe,Fire in burner 6 zone 6 - Gas pipe damaged,1:57, 1.95 ,28/01/2022,morning
14:09,14:17,MECH,MECH,MT,Finishing Area,Tying Machine,CCL area full due to feeding wire stuct in twister of tying machine 1 - Tying machine 1 not cut feeding wire preperly ,0:08, 0.13 ,28/01/2022,Afternoon
18:29,18:39,MECH,MECH,MT,Mill Area,Looper,Stop rolling due looper 11 not stable - Roller bolt of looper 11 loosen ,0:10, 0.17 ,28/01/2022,evening
20:33,20:52,E&A,E&A,MT,Mill Area,Fast Finishing Block ,1.5 billet chopped - Fast Finishing Block  Line 1 tripped,0:19, 0.32 ,28/01/2022,evening
03:59,04:05,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Fast Finishing Block  L2 stopped - Accumilator oil high level,0:06, 0.10 ,28/01/2022,night
05:14,05:20,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Fast Finishing Block 1 tripped one billet rejected - Not clear,0:06, 0.10 ,29/01/2022,night
06:13,06:25,E&A,E&A,MT,Mill Area,Proportional valve,Fast Finishing Block  2 oil level high rolling can't be started - Proportional valve not working properly,0:12, 0.20 ,29/01/2022,night
06:38,06:51,E&A,E&A,MT,Mill Area,Proportional valve,Fast Finishing Block  2 oil level high rolling BGV stopped - Proportional valve not working properly,0:13, 0.22 ,29/01/2022,night
08:07,08:15,E&A,E&A,MT,Mill Area,Proportional valve,Fast Finishing Block  2 oil level high rolling BGV stopped - Proportional valve not working properly,0:08, 0.13 ,29/01/2022,morning
05:00,12:20,MECH,MECH,MT,Finishing Area,Tying Machine,Accumulated delays of TM1 and TM2 stoppage many times - Not clear,0:28, 0.47 ,29/01/2022,night
21:23,21:33,MECH,MECH,MT,Finishing Area,Tying Machine,CCL area full due to tying machine 2 stopped - No clear reson,0:10, 0.17 ,30/01/2022,evening
03:27,03:38,E&A,E&A,MT,Finishing Area,Cold Shear,CCL area full due to cold shear not ready - Cold shear switch of due to lubrication unit cold shear grease not automatic,0:11, 0.18 ,30/01/2022,night
06:06,06:16,MECH,MECH,MT,Mill Area,Fast Finishing Block ,Fast Finishing Block  2 lubrication unit problem - Accumulator oil high level,0:10, 0.17 ,31/01/2022,night
06:43,07:43,E&A,E&A,MT,Furnace Area,Crane 120,Gab inside furnace - Crane problem in billet yard,1:00, 1.00 ,31/01/2022,night
09:22,09:57,E&A,E&A,MT,Furnace Area,Furnace,furnace shutdown - Zone 6 temperature below 750,0:35, 0.58 ,31/01/2022,morning
13:29,14:27,MECH,MECH,MT,Finishing Area,Tying Machine,"TM1 and 2 don't work properly, sometimes make lose tie and sometimes didn't tie and stope in down position - Not clear till now",0:10, 0.17 ,31/01/2022,Afternoon
18:25,20:00,E&A,E&A,MT,Mill Area,TWS ,"TWS in Rm3,2,1 and stopped and comunucation with server lost, labls can't be printed - Not clear",1:35, 1.58 ,01/02/2022,evening
20:00,21:09,E&A,E&A,MT,Mill Area,TWS,"TWS in Rm3,2,1 and stopped and communication with server lost, labls can't be printed - Not clear reason",1:09, 1.15 ,01/02/2022,evening
05:53,06:02,MECH,MECH,MT,Finishing Area,Tying Machine,Ccl area full - Oil leakage in tying Machine 1,0:09, 0.15 ,02/02/2022,night
20:35,20:44,E&A,E&A,MT,Furnace Area,Furnace,One billet deep charged indise furnace and suck on charging rollers inside fuenace /kick on and walking beams stopped,0:09, 0.15 ,02/02/2022,evening
22:33,22:37,E&A,E&A,MT,Furnace Area,Furnace,The bad charged billet stuck at discharging door - Billet head hit the furnace wall at discharing area,0:04, 0.07 ,02/02/2022,evening
00:56,01:33,E&A,E&A,MT,Furnace Area,Furnace,Accumulated delays of gaps inside furnace caused by charging photocells - Photo cell lost position ,0:06, 0.10 ,02/02/2022,night
02:55,03:05,MECH,MECH,MT,Finishing Area,Tying Machine,Accumulated delays of TM1 out of service - Small piece of tying wire stuck inside twisre,0:04, 0.07 ,02/02/2022,night
11:21,11:34,E&A,E&A,MT,Mill Area,Stand 10,Cobble after S10 due to material came out at looper 10 - Two billets close each to other (inter billet 0.4 S),0:13, 0.22 ,03/02/2022,morning
12:40,12:47,E&A,E&A,MT,,Communication Problem,Stop rolling - communication with server lost(alarm: WTP communication error),0:07, 0.12 ,03/02/2022,morning
12:57,13:00,E&A,E&A,MT,Finishing Area,TWS,CCL area full - TWS updated in finishing area,0:03, 0.05 ,03/02/2022,morning
13:00,14:40,E&A,E&A,MT,Finishing Area,TWS,CCL area full - TWS updated problem in finishing area,1:40, 1.67 ,03/02/2022,Afternoon
04:23,05:00,MECH,MECH,MT,Finishing Area,Tying Machine,"Accumulated delays of TM1 and 2, TM1 cut the wire and sometimes wire stuck and didn't cut by twister/ Tm2 wire stuck inside twister each time - Not clear",0:37, 0.62 ,03/02/2022,night
11:13,11:22,E&A,E&A,MT,Mill Area,Stand 10,Cobble after S10 due to material came out at looper 10 - Two billets close each to other (inter billet 0.7 S),0:09, 0.15 ,05/02/2022,morning
23:35,01:12,E&A,E&A,MT,Mill Area,Roughing Lubrication Unit,Mill not ready - Roughing mill lubrication unit faulty,1:37, 1.62 ,06/02/2022,night
11:55,12:15,MECH,MECH,MT,Mill Area,Stand 14,Two cobbles after S 14 - Looper has a delay during lifting up,0:20, 0.33 ,07/02/2022,morning
13:56,15:23,MECH,MECH,MT,Finishing Area,Tying Machine,Accumulated delays of TM3 stopped many times - Tying wire stuck betwen rollers and TM body,0:08, 0.13 ,08/02/2022,Afternoon
06:11,06:15,E&A,E&A,MT,Finishing Area,Booster QTB ,booster QTB tripped - QTB inlet minimum pressur,0:04, 0.07 ,09/02/2022,night
00:45,00:50,E&A,E&A,MT,,Booster QTB ,Booster QTB tripped - QTB inlet minimum pressur,0:05, 0.08 ,09/02/2022,night
03:25,03:50,E&A,E&A,MT,Mill Area,Fast Finishing Block ,Stop rolling - Air oil of Fast Finishing Block  line 02 cycle failed ( twice),0:25, 0.42 ,09/02/2022,night
20:56,21:11,MECH,MECH,MT,Finishing Area,Tail Braker,one billet choppd - Coupling of Tail Braker 2a opened,0:15, 0.25 ,10/02/2022,evening
20:45,23:05,MECH,MECH,MT,Finishing Area,Cold Shear,CCl full many times because of the bottom roller befor cold shear doesn't rotate during scarp cycle. - The roller transmesion bolt was loosed,0:07, 0.12 ,10/02/2022,evening
11:27,11:30,E&A,E&A,MT,,Photocell,Stop rolling - PH charging door was not working proprly,0:03, 0.05 ,12/02/2022,morning
10:35,10:40,E&A,E&A,MT,Furnace Area,Unloading device,Gaps inside furnace - Unloading device section B not working proprly,0:05, 0.08 ,13/02/2022,morning
